genre,,,pop,rock,edm,country,rap,hip,r&b,latin,mellow,TOTAL,,pop,rock,edm,country,rap,hip,r&b,latin,mellow
oakland hip hop,1,,,,,,,1,,,,1,,0,0,0,0,0,1,0,0,0
uk dance,1,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0
portland hip hop,1,,,,,,,1,,,,1,,0,0,0,0,0,1,0,0,0
modern country rock,1,,,1,,1,,,,,,2,,0,2,0,2,0,0,0,0,0
house,1,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0
funk,1,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0
progressive house,1,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0
cali rap,1,,,,,,1,,,,,1,,0,0,0,0,1,0,0,0,0
nyc rap,1,,,,,,1,,,,,1,,0,0,0,0,1,0,0,0,0
hyphy,1,,,,,,1,,,,,1,,0,0,0,0,1,0,0,0,0
dmv rap,1,,,,,,1,,,,,1,,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,5686,1257,263,302,2755,1700,609,109,264
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,pop,5686,,,,,,,
,,,,,,,,,,,,,,rap,2755,,,,,,,
,,,,,,,,,,,,,,hip,1700,,,,,,,
,,,,,,,,,,,,,,rock,1257,,,,,,,
,,,,,,,,,,,,,,r&b,609,,,,,,,
,,,,,,,,,,,,,,country,302,,,,,,,
,,,,,,,,,,,,,,mellow,264,,,,,,,
,,,,,,,,,,,,,,edm,263,,,,,,,
,,,,,,,,,,,,,,latin,109,,,,,,,
